casename,whole tumor,tumor core,enhancing tumor
BRATS_33268,nan,nan,nan
BRATS_33269,nan,nan,nan
BRATS_33270,nan,nan,nan
BRATS_33271,nan,nan,nan
BRATS_33272,nan,nan,nan
BRATS_33273,nan,nan,nan
BRATS_33274,nan,nan,nan
BRATS_33275,nan,nan,nan
BRATS_33276,nan,nan,nan
BRATS_33277,nan,nan,nan
BRATS_33278,nan,nan,nan
BRATS_33279,nan,nan,nan
BRATS_33280,nan,nan,nan
BRATS_33281,nan,nan,nan
BRATS_33282,nan,nan,nan
BRATS_33283,nan,nan,nan
BRATS_33432,0.8495,0.7368,0.7823
BRATS_33433,0.8859,0.7596,0.7559
BRATS_33434,0.8602,0.7104,0.6821
BRATS_33435,0.8402,0.6861,0.7091
BRATS_33436,0.8455,0.7115,0.7315
BRATS_33437,0.8708,0.7323,0.7480
BRATS_33438,0.8789,0.7591,0.6787
BRATS_33439,0.8707,0.7411,0.7250
BRATS_33440,0.8221,0.7693,0.7193
BRATS_33441,0.8205,0.7944,0.7934
BRATS_33442,0.8000,0.7747,0.7603
BRATS_33443,0.7692,0.7562,0.8161
BRATS_33444,0.7680,0.7526,0.8344
BRATS_33445,0.7493,0.7395,0.8000
BRATS_33446,0.7184,0.7126,0.0000
BRATS_33447,0.7626,0.7626,0.0000
BRATS_33448,0.7345,0.7345,0.0000
BRATS_33449,0.8111,0.8111,0.0000
BRATS_33450,0.8396,0.8396,nan
BRATS_33451,0.8345,0.8345,nan
BRATS_33600,0.8088,0.7857,0.0000
BRATS_33601,0.8174,0.8016,0.7451
BRATS_33602,0.7807,0.7761,0.7586
BRATS_33603,0.8421,0.8043,0.8261
BRATS_33604,0.8891,0.8579,0.8614
BRATS_33605,0.8853,0.8406,0.8454
BRATS_33606,0.9032,0.8500,0.8491
BRATS_33607,0.9202,0.8551,0.8188
BRATS_33608,0.9308,0.8678,0.8588
BRATS_33609,0.9076,0.8464,0.8490
BRATS_33610,0.9010,0.8445,0.8722
BRATS_33611,0.9048,0.8430,0.8289
BRATS_33612,0.9082,0.8431,0.8203
BRATS_33613,0.9196,0.8657,0.8372
BRATS_33614,0.9124,0.8619,0.8539
